258,38,349,38,349,90,258,90
790,36,952,36,952,94,790,94
94,38,187,38,187,92,94,92
669,38,792,38,792,92,669,92
945,38,1078,38,1078,94,945,94
50,42,86,42,86,81,50,81
325,38,493,38,493,135,325,135
513,40,646,40,646,90,513,90
1336,52,1462,52,1462,100,1336,100
217,59,241,59,241,81,217,81
1325,71,1340,71,1340,92,1325,92
67,88,227,88,227,129,67,129
594,92,746,92,746,131,594,131
844,92,1057,92,1057,131,844,131
1201,92,1364,94,1363,130,1201,127
1375,98,1437,98,1437,127,1375,127
1356,127,1494,127,1494,169,1356,169
1211,129,1246,129,1246,163,1211,163
1253,129,1298,129,1298,165,1253,165
40,133,231,133,231,208,40,208
1157,163,1477,163,1477,208,1157,208
775,179,790,179,790,192,775,192
1014,200,1084,200,1084,237,1014,237
1163,204,1400,204,1400,244,1163,244
974,206,1004,206,1004,241,974,241
84,208,152,208,152,243,84,243
329,208,399,208,399,244,329,244
713,208,846,208,846,248,713,248
547,210,680,210,680,246,547,246
883,241,912,241,912,270,883,270
968,241,999,241,999,271,968,271
1182,237,1465,237,1465,324,1182,324
40,260,98,260,98,297,40,297
115,260,154,260,154,295,115,295
212,262,352,262,352,324,212,324
360,259,551,264,549,329,359,324
597,273,765,273,765,314,597,314
812,273,950,273,950,312,812,312
987,273,1118,273,1118,310,987,310
1120,273,1176,273,1176,310,1120,310
1384,287,1537,287,1537,329,1384,329
1184,310,1363,310,1363,372,1184,372
35,317,104,311,118,468,49,474
96,322,148,322,148,352,96,352
144,320,179,320,179,428,144,428
293,325,374,325,374,362,293,362
464,327,572,327,572,362,464,362
1377,337,1537,337,1537,378,1377,378
96,354,131,354,131,389,96,389
875,358,970,358,970,393,875,393
277,360,372,360,372,397,277,397
462,360,570,360,570,397,462,397
1184,374,1361,374,1361,408,1184,408
277,399,372,399,372,434,277,434
478,401,572,401,572,437,478,437
113,426,177,426,177,462,113,462
1190,432,1207,432,1207,451,1190,451
293,434,372,434,372,470,293,470
491,437,574,437,574,474,491,474
11,457,46,457,46,503,11,503
48,461,113,461,113,493,48,493
113,462,177,462,177,497,113,497
293,472,372,472,372,509,293,509
472,474,580,474,580,513,472,513
113,499,177,499,177,534,113,534
295,509,374,509,374,543,295,543
491,511,574,511,574,547,491,547
46,516,113,516,113,551,46,551
113,534,177,534,177,570,113,570
281,543,374,543,374,580,281,580
669,543,775,543,775,580,669,580
480,545,572,545,572,582,480,582
15,547,48,547,48,586,15,586
42,570,177,570,177,609,42,609
1190,584,1207,584,1207,605,1190,605
46,609,177,609,177,644,46,644
268,619,374,619,374,653,268,653
437,619,578,619,578,655,437,655
860,619,970,619,970,655,860,655
14,627,182,647,176,695,9,675
1192,642,1205,642,1205,655,1192,655
877,651,968,651,968,688,877,688
281,655,376,655,376,692,281,692
478,655,572,655,572,692,478,692
1211,665,1363,665,1363,723,1211,723
1188,673,1209,673,1209,694,1188,694
46,680,177,680,177,717,46,717
1394,682,1489,682,1489,721,1394,721
1485,682,1539,682,1539,719,1485,719
15,713,48,713,48,750,15,750
44,717,177,717,177,752,44,752
1325,723,1359,723,1359,761,1325,761
1240,725,1274,725,1274,759,1240,759
1195,731,1230,731,1230,891,1195,891
46,754,177,754,177,788,46,788
253,764,378,767,377,806,252,802
464,765,572,765,572,802,464,802
694,765,773,765,773,800,694,800
1240,769,1361,769,1361,808,1240,808
46,790,177,790,177,825,46,825
1240,815,1361,815,1361,854,1240,854
1390,821,1489,821,1489,862,1390,862
1481,821,1535,821,1535,860,1481,860
46,825,177,825,177,862,46,862
1224,860,1321,860,1321,896,1224,896
1323,860,1359,860,1359,898,1323,898
46,864,177,864,177,898,46,898
1385,867,1482,864,1483,904,1387,907
1481,866,1535,866,1535,904,1481,904
104,898,175,898,175,935,104,935
42,900,104,900,104,933,42,933
1217,900,1504,900,1504,941,1217,941
40,935,177,935,177,970,40,970
1188,937,1332,937,1332,972,1188,972
1348,947,1483,947,1483,983,1348,983
17,952,46,952,46,997,17,997
44,972,177,972,177,1008,44,1008
1186,974,1330,974,1330,1010,1186,1010
1342,983,1545,983,1545,1020,1342,1020
15,999,48,999,48,1041,15,1041
46,1006,177,1006,177,1043,46,1043
1190,1008,1332,1008,1332,1049,1190,1049
1342,1020,1465,1020,1465,1057,1342,1057
46,1043,177,1043,177,1080,46,1080
1186,1045,1330,1045,1330,1082,1186,1082
13,1049,48,1049,48,1101,13,1101
1346,1057,1462,1057,1462,1093,1346,1093
44,1080,175,1080,175,1116,44,1116
1188,1080,1330,1080,1330,1118,1188,1118
1346,1097,1454,1097,1454,1130,1346,1130
15,1099,46,1099,46,1139,15,1139
44,1116,175,1116,175,1151,44,1151
1188,1118,1332,1118,1332,1155,1188,1155
1330,1130,1384,1130,1384,1165,1330,1165
40,1149,81,1149,81,1186,40,1186
144,1153,175,1153,175,1186,144,1186
1186,1155,1330,1155,1330,1190,1186,1190
0,0,0,0,0,0,0,0
754,1165,773,1165,773,1190,754,1190
1392,1165,1539,1165,1539,1201,1392,1201
13,1188,175,1188,175,1222,13,1222
1188,1190,1330,1190,1330,1224,1188,1224
1346,1199,1421,1199,1421,1232,1346,1232
1423,1199,1477,1199,1477,1230,1423,1230
1481,1201,1531,1201,1531,1230,1481,1230
15,1224,46,1224,46,1257,15,1257
142,1222,210,1222,210,1259,142,1259
269,1236,408,1225,411,1265,273,1277
582,1228,611,1228,611,1261,582,1261
979,1230,1012,1230,1012,1261,979,1261
783,1232,813,1232,813,1261,783,1261
804,1230,977,1230,977,1300,804,1300
437,1236,582,1234,582,1272,437,1274
666,1236,775,1234,776,1270,667,1272
13,1257,206,1257,206,1294,13,1294
996,1259,1122,1255,1123,1300,997,1304
1201,1261,1294,1261,1294,1298,1201,1298
1298,1261,1359,1261,1359,1298,1298,1298
7,1288,162,1288,162,1354,7,1354
156,1289,424,1292,424,1355,155,1352
522,1292,553,1292,553,1323,522,1323
686,1290,842,1290,842,1356,686,1356
1274,1292,1363,1292,1363,1330,1274,1330
449,1294,555,1294,555,1354,449,1354
569,1294,680,1294,680,1327,569,1327
840,1294,1003,1294,1003,1327,840,1327
1203,1294,1267,1294,1267,1329,1203,1329
1026,1298,1095,1298,1095,1325,1026,1325
1392,1311,1516,1311,1516,1344,1392,1344
331,1315,416,1315,416,1350,331,1350
408,1317,453,1317,453,1350,408,1350
569,1319,678,1319,678,1352,569,1352
966,1323,997,1323,997,1350,966,1350
893,1325,960,1325,960,1357,893,1357
1006,1325,1057,1325,1057,1357,1006,1357
