1129,92,1236,92,1236,140,1129,140
1001,97,1111,97,1111,143,1001,143
508,99,994,99,994,148,508,148
1362,150,1576,150,1576,191,1362,191
1005,156,1121,152,1122,193,1007,197
104,161,270,161,270,201,104,201
513,161,628,161,628,201,513,201
1466,194,1581,194,1581,237,1466,237
1357,199,1441,199,1441,237,1357,237
947,209,1180,202,1181,240,948,246
1298,247,1630,247,1630,288,1298,288
1128,254,1244,250,1245,288,1129,292
920,258,978,258,978,296,920,296
470,258,674,258,674,299,470,299
135,260,247,260,247,301,135,301
122,306,263,306,263,347,122,347
1303,345,1464,345,1464,383,1303,383
544,355,603,355,603,393,544,393
945,355,1029,355,1029,391,945,391
1203,396,1369,396,1369,431,1203,431
1001,398,1139,398,1139,437,1001,437
408,401,572,401,572,442,408,442
710,403,771,403,771,439,710,439
876,403,940,403,940,439,876,439
235,406,263,406,263,434,235,434
135,411,155,411,155,434,135,434
1538,411,1627,411,1627,447,1538,447
1172,438,1390,433,1390,477,1173,482
1037,444,1098,444,1098,480,1037,480
337,447,477,447,477,488,337,488
506,447,646,447,646,488,506,488
684,449,797,449,797,485,684,485
863,449,950,449,950,485,863,485
1157,488,1270,488,1270,529,1157,529
1272,490,1357,490,1357,526,1272,526
421,498,498,498,498,534,421,534
587,498,661,498,661,534,587,534
186,500,273,500,273,536,186,536
1134,503,1147,503,1147,518,1134,518
1535,500,1622,500,1622,536,1535,536
1211,539,1362,539,1362,567,1211,567
1178,552,1193,552,1193,564,1178,564
191,544,276,544,276,580,191,580
1308,580,1390,580,1390,615,1308,615
1157,582,1213,582,1213,618,1157,618
1219,582,1303,582,1303,618,1219,618
204,590,263,590,263,626,204,626
1188,626,1275,626,1275,661,1188,661
1277,626,1362,626,1362,661,1277,661
148,636,227,636,227,672,148,672
242,636,324,636,324,672,242,672
1528,638,1615,638,1615,672,1528,672
1280,672,1303,672,1303,697,1280,697
1244,677,1265,677,1265,697,1244,697
143,677,227,677,227,713,143,713
240,677,324,677,324,713,240,713
1530,707,1566,707,1566,741,1530,741
1569,707,1617,707,1617,741,1569,741
1298,710,1359,710,1359,746,1298,746
240,720,322,720,322,756,240,756
143,743,227,743,227,779,143,779
1160,751,1244,751,1244,787,1160,787
1259,756,1397,756,1397,792,1259,792
1597,759,1612,759,1612,776,1597,776
1063,759,1150,759,1150,792,1063,792
240,764,324,764,324,799,240,799
1157,774,1234,774,1234,840,1157,840
97,794,130,794,130,830,97,830
1543,794,1574,794,1574,825,1543,825
1571,794,1617,794,1617,828,1571,828
1300,797,1359,797,1359,833,1300,833
186,807,276,807,276,843,186,843
1530,838,1617,838,1617,871,1530,871
1298,840,1359,840,1359,876,1298,876
99,845,130,845,130,881,99,881
140,851,304,851,304,889,140,889
1267,884,1326,884,1326,920,1267,920
1328,884,1390,884,1390,920,1328,920
1152,886,1259,886,1259,922,1152,922
189,894,276,894,276,930,189,930
424,894,498,894,498,927,424,927
577,894,621,894,621,927,577,927
615,894,661,894,661,927,615,927
102,897,125,897,125,925,102,925
1277,932,1305,932,1305,958,1277,958
163,935,304,935,304,976,163,976
102,945,125,945,125,971,102,971
1270,971,1433,971,1433,1006,1270,1006
153,978,316,978,316,1019,153,1019
1188,1017,1349,1017,1349,1055,1188,1055
168,1027,304,1027,304,1063,168,1063
1187,1063,1346,1055,1348,1095,1188,1103
143,1068,329,1068,329,1106,143,1106
