639,537,748,537,748,616,639,616
816,537,929,537,929,616,816,616
1279,537,1436,537,1436,616,1279,616
1436,535,1784,541,1782,625,1435,619
929,544,1102,544,1102,609,929,609
1099,547,1279,547,1279,609,1099,609
231,616,408,616,408,663,231,663
605,619,803,619,803,667,605,667
1191,619,1432,619,1432,663,1191,663
1824,622,2045,622,2045,670,1824,670
1003,701,1272,701,1272,748,1003,748
1279,697,1647,697,1647,779,1279,779
588,735,816,735,816,779,588,779
990,738,1031,738,1031,779,990,779
1722,738,2065,738,2065,786,1722,786
248,745,353,745,353,769,248,769
360,745,394,745,394,772,360,772
1058,741,1089,741,1089,772,1058,772
1150,792,1402,792,1402,847,1150,847
176,799,422,799,422,847,176,847
1735,803,2042,803,2042,884,1735,884
711,837,752,837,752,874,711,874
878,837,915,837,915,871,878,871
1283,837,1330,837,1330,871,1283,871
1439,837,1480,837,1480,878,1439,878
1357,840,1402,840,1402,881,1357,881
245,874,289,874,289,925,245,925
353,878,401,878,401,925,353,925
598,881,813,881,813,925,598,925
1017,888,1106,888,1106,932,1017,932
1436,888,1596,888,1596,932,1436,932
1640,884,1878,884,1878,976,1640,976
983,895,1014,895,1014,922,983,922
1402,901,1429,901,1429,925,1402,925
1654,901,1674,901,1674,922,1654,922
1208,905,1368,905,1368,952,1208,952
1180,918,1201,918,1201,942,1180,942
980,922,1106,922,1106,966,980,966
530,929,690,929,690,973,530,973
755,929,915,929,915,973,755,973
1439,929,1480,929,1480,966,1439,966
1558,929,1589,929,1589,963,1558,963
2035,929,2161,929,2161,973,2035,973
718,932,752,932,752,969,718,969
493,935,520,935,520,963,493,963
234,969,466,969,466,1112,234,1112
330,976,459,976,459,1014,330,1014
1637,976,1878,976,1878,1068,1637,1068
1650,990,1677,990,1677,1017,1650,1017
564,993,680,993,680,1041,564,1041
806,997,905,997,905,1041,806,1041
1252,997,1351,997,1351,1041,1252,1041
2035,1017,2161,1017,2161,1068,2035,1068
0,0,0,0,0,0,0,0
1677,1068,1875,1068,1875,1112,1677,1112
2031,1082,2161,1082,2161,1136,2031,1136
360,1109,462,1109,462,1157,360,1157
241,1112,343,1112,343,1157,241,1157
1684,1112,1875,1112,1875,1157,1684,1157
238,1150,343,1150,343,1191,238,1191
360,1153,459,1153,459,1201,360,1201
1684,1157,1878,1157,1878,1204,1684,1204
176,1180,214,1180,214,1232,176,1232
360,1201,462,1201,462,1245,360,1245
1694,1204,1875,1204,1875,1249,1694,1249
238,1221,347,1221,347,1266,238,1266
2038,1238,2161,1238,2161,1286,2038,1286
1643,1242,1875,1242,1875,1286,1643,1286
357,1245,462,1245,462,1289,357,1289
176,1262,221,1262,221,1323,176,1323
241,1283,462,1283,462,1330,241,1330
1742,1289,1793,1289,1793,1323,1742,1323
1868,1289,1899,1289,1899,1323,1868,1323
1661,1322,1907,1332,1905,1384,1659,1374
241,1327,462,1327,462,1371,241,1371
1623,1337,1647,1337,1647,1357,1623,1357
2038,1347,2161,1347,2161,1395,2038,1395
176,1351,221,1351,221,1405,176,1405
238,1371,462,1371,462,1415,238,1415
1658,1386,1789,1375,1792,1421,1661,1432
1865,1378,1902,1378,1902,1419,1865,1419
1619,1385,1660,1385,1660,1429,1619,1429
241,1412,466,1412,466,1463,241,1463
1739,1422,1790,1422,1790,1463,1739,1463
1865,1425,1902,1425,1902,1460,1865,1460
2024,1429,2161,1429,2161,1483,2024,1483
176,1443,217,1443,217,1483,176,1483
241,1456,462,1456,462,1504,241,1504
1613,1466,1902,1466,1902,1511,1613,1511
241,1500,463,1504,462,1550,240,1546
1739,1511,1919,1511,1919,1558,1739,1558
241,1548,462,1548,462,1592,241,1592
1664,1551,1858,1551,1858,1599,1664,1599
1902,1565,2161,1565,2161,1616,1902,1616
241,1587,467,1592,465,1642,240,1636
1664,1596,1858,1596,1858,1643,1664,1643
1963,1609,2164,1609,2164,1664,1963,1664
241,1633,462,1633,462,1681,241,1681
245,1677,462,1677,462,1725,245,1725
245,1722,462,1722,462,1769,245,1769
319,1766,466,1766,466,1813,319,1813
241,1769,306,1769,306,1810,241,1810
176,1773,224,1773,224,2004,176,2004
241,1810,316,1810,316,1854,241,1854
330,1810,462,1810,462,1858,330,1858
238,1854,466,1858,466,1903,237,1899
228,1899,462,1899,462,1946,228,1946
224,1941,463,1946,462,1992,223,1986
1668,1972,1771,1977,1769,2026,1665,2021
1766,1977,2018,1977,2018,2024,1766,2024
2021,1977,2123,1977,2123,2028,2021,2028
1626,1980,1660,1980,1660,2014,1626,2014
241,1987,466,1987,466,2035,241,2035
1667,2014,1766,2014,1766,2065,1667,2065
1769,2014,1929,2014,1929,2065,1769,2065
1933,2018,2069,2018,2069,2065,1933,2065
238,2031,462,2031,462,2079,238,2079
1627,2059,1842,2067,1840,2121,1625,2113
1466,2069,1579,2069,1579,2110,1466,2110
1837,2065,2004,2065,2004,2120,1837,2120
2007,2069,2144,2069,2144,2116,2007,2116
176,2072,459,2072,459,2120,176,2120
650,2076,673,2076,673,2096,650,2096
1626,2110,1824,2110,1824,2161,1626,2161
874,2116,898,2116,898,2147,874,2147
1820,2113,1922,2113,1922,2161,1820,2161
1919,2113,2045,2113,2045,2161,1919,2161
2045,2113,2174,2113,2174,2161,2045,2161
180,2116,224,2116,224,2161,180,2161
650,2120,677,2120,677,2144,650,2144
408,2120,462,2120,462,2157,408,2157
561,2150,680,2150,680,2195,561,2195
803,2154,901,2154,901,2198,803,2198
1249,2154,1351,2154,1351,2198,1249,2198
1466,2154,1579,2154,1579,2198,1466,2198
1660,2150,1820,2150,1820,2205,1660,2205
1824,2157,1892,2157,1892,2205,1824,2205
1892,2157,1963,2157,1963,2205,1892,2205
1960,2157,2127,2157,2127,2205,1960,2205
184,2157,466,2162,466,2210,183,2204
183,2205,466,2205,466,2253,183,2253
581,2208,823,2208,823,2253,581,2253
925,2208,1024,2208,1024,2256,925,2256
534,2212,575,2212,575,2246,534,2246
1129,2212,1259,2212,1259,2256,1129,2256
1361,2212,1551,2212,1551,2259,1361,2259
1660,2229,1861,2229,1861,2280,1660,2280
1967,2242,2110,2242,2110,2287,1967,2287
184,2247,467,2253,466,2302,183,2296
486,2253,861,2253,861,2300,486,2300
888,2253,1180,2253,1180,2300,888,2300
1204,2256,1334,2256,1334,2300,1204,2300
1368,2259,1500,2259,1500,2300,1368,2300
1912,2286,2171,2290,2170,2351,1911,2347
180,2293,469,2293,469,2341,180,2341
510,2297,731,2297,731,2344,510,2344
735,2300,840,2300,840,2344,735,2344
840,2300,980,2300,980,2344,840,2344
983,2300,1055,2300,1055,2344,983,2344
1095,2300,1460,2300,1460,2348,1095,2348
1487,2304,1538,2304,1538,2344,1487,2344
1660,2304,1861,2304,1861,2351,1660,2351
344,2350,501,2355,499,2402,342,2397
510,2355,660,2355,660,2399,510,2399
1017,2355,1334,2355,1334,2402,1017,2402
1688,2358,1841,2358,1841,2406,1688,2406
1851,2361,2001,2361,2001,2406,1851,2406
173,2395,316,2395,316,2440,173,2440
517,2399,633,2399,633,2443,517,2443
847,2399,990,2399,990,2443,847,2443
1187,2402,1306,2402,1306,2446,1187,2446
1517,2402,1660,2402,1660,2450,1517,2450
1858,2406,1977,2406,1977,2450,1858,2450
