316,77,470,77,470,121,316,121
656,94,716,94,716,117,656,117
130,160,262,160,262,269,130,269
48,170,108,170,108,194,48,194
524,198,624,198,624,222,524,222
49,201,66,201,66,221,49,221
69,201,122,201,122,221,69,221
636,236,668,236,668,258,636,258
377,237,438,237,438,264,377,264
78,238,126,238,126,260,78,260
126,238,160,238,160,261,126,261
316,238,350,238,350,261,316,261
447,238,507,238,507,259,447,259
61,241,78,241,78,258,61,258
60,281,78,281,78,301,60,301
78,280,128,280,128,301,78,301
126,280,161,280,161,301,126,301
645,309,693,309,693,332,645,332
177,313,245,313,245,336,177,336
244,313,278,313,278,334,244,334
616,342,633,342,633,462,616,462
61,353,101,353,101,373,61,373
144,353,161,353,161,373,144,373
81,393,149,393,149,413,81,413
100,431,148,429,149,451,101,453
497,504,529,504,529,525,497,525
432,506,457,506,457,526,432,526
458,506,477,506,477,525,458,525
102,508,121,508,121,528,102,528
122,508,142,508,142,528,122,528
142,508,161,508,161,528,142,528
245,508,270,508,270,528,245,528
316,508,346,508,346,526,316,526
392,508,430,508,430,526,392,526
61,509,80,509,80,528,61,528
82,509,101,509,101,529,82,529
205,509,244,509,244,528,205,528
272,509,292,509,292,528,272,528
366,537,452,537,452,560,366,560
453,537,504,537,504,558,453,558
178,538,238,538,238,561,178,561
240,540,260,540,260,560,240,560
258,538,333,538,333,561,258,561
333,538,365,538,365,560,333,560
230,565,309,565,309,605,230,605
177,566,232,566,232,605,177,605
300,580,360,580,360,602,300,602
136,588,156,588,156,666,136,666
89,589,108,589,108,609,89,609
68,590,86,590,86,609,68,609
86,616,109,616,109,670,86,670
205,734,387,732,388,771,205,773
144,741,161,741,161,760,144,760
61,742,80,742,80,761,61,761
82,742,101,742,101,761,82,761
194,754,209,754,209,768,194,768
429,801,492,801,492,830,429,830
336,802,378,802,378,832,336,832
382,802,426,802,426,830,382,830
288,804,333,804,333,832,288,832
394,882,422,882,422,910,394,910
357,892,368,892,368,906,357,906
366,896,372,896,372,901,366,901
648,925,666,925,666,945,648,945
468,926,538,926,538,946,468,946
580,926,618,926,618,946,580,946
621,926,645,926,645,945,621,945
158,931,417,927,418,1000,159,1005
236,953,316,953,316,966,236,966
162,954,236,954,236,968,162,968
320,962,352,962,352,982,320,982
469,978,540,978,540,1000,469,1000
596,977,637,977,637,998,596,998
233,978,281,978,281,1001,233,1001
561,980,580,980,580,998,561,998
125,980,185,980,185,1002,125,1002
185,980,233,980,233,1002,185,1002
657,982,665,982,665,992,657,992
76,982,109,982,109,1002,76,1002
112,988,120,988,120,998,112,998
569,1017,702,1017,702,1054,569,1054
468,1029,528,1029,528,1052,468,1052
125,1033,213,1033,213,1053,125,1053
222,1033,250,1033,250,1053,222,1053
282,1033,370,1033,370,1053,282,1053
74,1033,108,1033,108,1054,74,1054
532,1036,538,1036,538,1046,532,1046
112,1038,118,1038,118,1050,112,1050
